projectId,legacy_apartments,tz_apartments,delta_apt,legacy_clients,tz_clients,legacy_quotes,tz_quotes,legacy_requests,tz_requests
64084f5997fc6b0026d4143e,78,78,0,3,3,0,0,0,0
6437b36c65afb607eda5fd9e,60,60,0,7,7,32,32,23,23
6441076565afb607eda6e6c2,28,28,0,1,1,0,0,0,0
6441297665afb607eda6f0ab,45,45,0,0,0,0,0,0,0
64708a914a477286aa67504a,84,84,0,931,931,8,8,5,5
64787db47c7c18237655ad9b,31,31,0,1,1,0,0,0,0
64edfc9dcc8919da129f574e,59,59,0,2,2,4,4,4,4
65c4d4328532393892916694,451,451,0,1,1,0,0,0,0
65c4f8958532393892916da1,902,902,0,4,4,0,0,0,0
6644bb687709e035566ddf99,27,27,0,0,0,0,0,0,0
6654438d520baf4ad38adb41,49,49,0,0,0,0,0,0,0
665dc4ed520baf4ad38bb051,0,0,0,0,0,0,0,0,0
666ac34972d8c63cc11f0b94,32,32,0,0,0,0,0,0,0
66952894b57011379bf3677b,80,80,0,0,0,0,0,0,0
66fe96e8d4ef7029f12bb676,0,0,0,0,0,0,0,0,0
670e4618d4ef7029f12d2da7,0,0,0,0,0,0,0,0,0
673b29ea7ec732aecc406a60,0,0,0,0,0,0,0,0,0
67814d587ec732aecc45f6ee,50,50,0,1,1,0,0,0,0
678153417ec732aecc45f7b4,0,0,0,0,0,0,0,0,0
67ffbf249c2d0696687e80af,0,0,0,0,0,0,0,0,0
690a0b3aba0d777f3a665253,0,0,0,0,0,0,0,0,0
691357d2e88e2c326bf8975e,0,0,0,0,0,0,0,0,0
TOTAL,1976,1976,0,951,951,44,44,32,32
